elementwise_feature,metric,base_feature,space,dimension
euc_elem_2840,euclidean,dim_2840,CC,2840
cos_elem_3030,cosine,dim_3030,CC,3030
euc_elem_1640,euclidean,dim_1640,CC,1640
cos_elem_3000,cosine,dim_3000,CC,3000
euc_elem_2225,euclidean,dim_2225,CC,2225
euc_elem_2228,euclidean,dim_2228,CC,2228
cos_elem_1742,cosine,dim_1742,CC,1742
cos_elem_1743,cosine,dim_1743,CC,1743
cos_elem_1744,cosine,dim_1744,CC,1744
cos_elem_581,cosine,dim_581,CC,581
cos_elem_610,cosine,dim_610,CC,610
cos_elem_3023,cosine,dim_3023,CC,3023
euc_elem_2000,euclidean,dim_2000,CC,2000
cos_elem_2310,cosine,dim_2310,CC,2310
euc_elem_2593,euclidean,dim_2593,CC,2593
euc_elem_270,euclidean,dim_270,CC,270
cos_elem_2286,cosine,dim_2286,CC,2286
cos_elem_2293,cosine,dim_2293,CC,2293
euc_elem_917,euclidean,dim_917,CC,917
euc_elem_870,euclidean,dim_870,CC,870
euc_elem_2693,euclidean,dim_2693,CC,2693
euc_elem_2716,euclidean,dim_2716,CC,2716
euc_elem_1443,euclidean,dim_1443,CC,1443
cos_elem_1185,cosine,dim_1185,CC,1185
cos_elem_229,cosine,dim_229,CC,229
euc_elem_1470,euclidean,dim_1470,CC,1470
euc_elem_1475,euclidean,dim_1475,CC,1475
euc_elem_411,euclidean,dim_411,CC,411
cos_elem_556,cosine,dim_556,CC,556
cos_elem_1912,cosine,dim_1912,CC,1912
cos_elem_2935,cosine,dim_2935,CC,2935
euc_elem_2215,euclidean,dim_2215,CC,2215
euc_elem_667,euclidean,dim_667,CC,667
cos_elem_3120,cosine,dim_3120,CC,3120
euc_elem_664,euclidean,dim_664,CC,664
euc_elem_883,euclidean,dim_883,CC,883
cos_elem_310,cosine,dim_310,CC,310
cos_elem_2258,cosine,dim_2258,CC,2258
euc_elem_2047,euclidean,dim_2047,CC,2047
cos_elem_2662,cosine,dim_2662,CC,2662
cos_elem_2697,cosine,dim_2697,CC,2697
euc_elem_204,euclidean,dim_204,CC,204
cos_elem_2799,cosine,dim_2799,CC,2799
cos_elem_859,cosine,dim_859,CC,859
cos_elem_1316,cosine,dim_1316,CC,1316
cos_elem_2144,cosine,dim_2144,CC,2144
cos_elem_2125,cosine,dim_2125,CC,2125
cos_elem_2743,cosine,dim_2743,CC,2743
euc_elem_2090,euclidean,dim_2090,CC,2090
euc_elem_829,euclidean,dim_829,CC,829
cos_elem_810,cosine,dim_810,CC,810
cos_elem_880,cosine,dim_880,CC,880
cos_elem_326,cosine,dim_326,CC,326
euc_elem_1822,euclidean,dim_1822,CC,1822
cos_elem_1278,cosine,dim_1278,CC,1278
cos_elem_1340,cosine,dim_1340,CC,1340
cos_elem_1321,cosine,dim_1321,CC,1321
cos_elem_1878,cosine,dim_1878,CC,1878
cos_elem_3147,cosine,dim_3147,CC,3147
cos_elem_1555,cosine,dim_1555,CC,1555
cos_elem_702,cosine,dim_702,CC,702
cos_elem_1596,cosine,dim_1596,CC,1596
