elementwise_feature,metric,base_feature,space,dimension
euc_elem_2741,euclidean,dim_2741,CC,2741
euc_elem_2693,euclidean,dim_2693,CC,2693
cos_elem_2216,cosine,dim_2216,CC,2216
cos_elem_228,cosine,dim_228,CC,228
euc_elem_2880,euclidean,dim_2880,CC,2880
euc_elem_745,euclidean,dim_745,CC,745
cos_elem_1836,cosine,dim_1836,CC,1836
euc_elem_1853,euclidean,dim_1853,CC,1853
euc_elem_2777,euclidean,dim_2777,CC,2777
euc_elem_1911,euclidean,dim_1911,CC,1911
cos_elem_1788,cosine,dim_1788,CC,1788
cos_elem_1731,cosine,dim_1731,CC,1731
euc_elem_1693,euclidean,dim_1693,CC,1693
euc_elem_3132,euclidean,dim_3132,CC,3132
euc_elem_3175,euclidean,dim_3175,CC,3175
euc_elem_1401,euclidean,dim_1401,CC,1401
cos_elem_938,cosine,dim_938,CC,938
cos_elem_2461,cosine,dim_2461,CC,2461
euc_elem_109,euclidean,dim_109,CC,109
euc_elem_618,euclidean,dim_618,CC,618
euc_elem_952,euclidean,dim_952,CC,952
euc_elem_2072,euclidean,dim_2072,CC,2072
cos_elem_891,cosine,dim_891,CC,891
cos_elem_2697,cosine,dim_2697,CC,2697
cos_elem_3294,cosine,s_94,S,94
euc_elem_723,euclidean,dim_723,CC,723
cos_elem_1629,cosine,dim_1629,CC,1629
cos_elem_1547,cosine,dim_1547,CC,1547
euc_elem_2580,euclidean,dim_2580,CC,2580
euc_elem_935,euclidean,dim_935,CC,935
euc_elem_917,euclidean,dim_917,CC,917
cos_elem_1604,cosine,dim_1604,CC,1604
euc_elem_971,euclidean,dim_971,CC,971
euc_elem_886,euclidean,dim_886,CC,886
cos_elem_2731,cosine,dim_2731,CC,2731
cos_elem_1185,cosine,dim_1185,CC,1185
cos_elem_1253,cosine,dim_1253,CC,1253
euc_elem_2286,euclidean,dim_2286,CC,2286
euc_elem_2292,euclidean,dim_2292,CC,2292
euc_elem_2411,euclidean,dim_2411,CC,2411
cos_elem_1071,cosine,dim_1071,CC,1071
cos_elem_3172,cosine,dim_3172,CC,3172
euc_elem_2615,euclidean,dim_2615,CC,2615
cos_elem_3038,cosine,dim_3038,CC,3038
cos_elem_1941,cosine,dim_1941,CC,1941
euc_elem_667,euclidean,dim_667,CC,667
euc_elem_655,euclidean,dim_655,CC,655
euc_elem_659,euclidean,dim_659,CC,659
cos_elem_816,cosine,dim_816,CC,816
euc_elem_642,euclidean,dim_642,CC,642
cos_elem_774,cosine,dim_774,CC,774
euc_elem_2155,euclidean,dim_2155,CC,2155
cos_elem_1438,cosine,dim_1438,CC,1438
euc_elem_206,euclidean,dim_206,CC,206
cos_elem_2828,cosine,dim_2828,CC,2828
euc_elem_2423,euclidean,dim_2423,CC,2423
euc_elem_1552,euclidean,dim_1552,CC,1552
cos_elem_2282,cosine,dim_2282,CC,2282
euc_elem_814,euclidean,dim_814,CC,814
euc_elem_2731,euclidean,dim_2731,CC,2731
euc_elem_862,euclidean,dim_862,CC,862
cos_elem_3100,cosine,dim_3100,CC,3100
cos_elem_1665,cosine,dim_1665,CC,1665
euc_elem_2860,euclidean,dim_2860,CC,2860
euc_elem_140,euclidean,dim_140,CC,140
cos_elem_1926,cosine,dim_1926,CC,1926
euc_elem_1812,euclidean,dim_1812,CC,1812
euc_elem_2916,euclidean,dim_2916,CC,2916
euc_elem_675,euclidean,dim_675,CC,675
euc_elem_780,euclidean,dim_780,CC,780
cos_elem_1434,cosine,dim_1434,CC,1434
euc_elem_2145,euclidean,dim_2145,CC,2145
cos_elem_1158,cosine,dim_1158,CC,1158
euc_elem_1310,euclidean,dim_1310,CC,1310
euc_elem_774,euclidean,dim_774,CC,774
cos_elem_3147,cosine,dim_3147,CC,3147
euc_elem_1461,euclidean,dim_1461,CC,1461
euc_elem_2652,euclidean,dim_2652,CC,2652
cos_elem_1079,cosine,dim_1079,CC,1079
euc_elem_202,euclidean,dim_202,CC,202
cos_elem_1727,cosine,dim_1727,CC,1727
euc_elem_2642,euclidean,dim_2642,CC,2642
cos_elem_1919,cosine,dim_1919,CC,1919
cos_elem_254,cosine,dim_254,CC,254
euc_elem_3157,euclidean,dim_3157,CC,3157
cos_elem_118,cosine,dim_118,CC,118
euc_elem_400,euclidean,dim_400,CC,400
euc_elem_1704,euclidean,dim_1704,CC,1704
euc_elem_3212,euclidean,s_12,S,12
euc_elem_394,euclidean,dim_394,CC,394
cos_elem_3303,cosine,s_103,S,103
cos_elem_980,cosine,dim_980,CC,980
cos_elem_3116,cosine,dim_3116,CC,3116
cos_elem_1693,cosine,dim_1693,CC,1693
euc_elem_3038,euclidean,dim_3038,CC,3038
euc_elem_878,euclidean,dim_878,CC,878
cos_elem_731,cosine,dim_731,CC,731
euc_elem_2471,euclidean,dim_2471,CC,2471
euc_elem_2133,euclidean,dim_2133,CC,2133
cos_elem_1196,cosine,dim_1196,CC,1196
cos_elem_635,cosine,dim_635,CC,635
cos_elem_602,cosine,dim_602,CC,602
euc_elem_2737,euclidean,dim_2737,CC,2737
cos_elem_2746,cosine,dim_2746,CC,2746
cos_elem_1202,cosine,dim_1202,CC,1202
euc_elem_1174,euclidean,dim_1174,CC,1174
cos_elem_2117,cosine,dim_2117,CC,2117
euc_elem_738,euclidean,dim_738,CC,738
euc_elem_2211,euclidean,dim_2211,CC,2211
euc_elem_1398,euclidean,dim_1398,CC,1398
euc_elem_2492,euclidean,dim_2492,CC,2492
cos_elem_2894,cosine,dim_2894,CC,2894
cos_elem_1565,cosine,dim_1565,CC,1565
euc_elem_2538,euclidean,dim_2538,CC,2538
cos_elem_1571,cosine,dim_1571,CC,1571
euc_elem_1605,euclidean,dim_1605,CC,1605
euc_elem_2571,euclidean,dim_2571,CC,2571
euc_elem_1632,euclidean,dim_1632,CC,1632
euc_elem_1636,euclidean,dim_1636,CC,1636
cos_elem_1538,cosine,dim_1538,CC,1538
euc_elem_885,euclidean,dim_885,CC,885
euc_elem_2045,euclidean,dim_2045,CC,2045
cos_elem_1636,cosine,dim_1636,CC,1636
euc_elem_2577,euclidean,dim_2577,CC,2577
euc_elem_2093,euclidean,dim_2093,CC,2093
euc_elem_2087,euclidean,dim_2087,CC,2087
euc_elem_715,euclidean,dim_715,CC,715
cos_elem_845,cosine,dim_845,CC,845
cos_elem_2398,cosine,dim_2398,CC,2398
euc_elem_1343,euclidean,dim_1343,CC,1343
euc_elem_2941,euclidean,dim_2941,CC,2941
euc_elem_2489,euclidean,dim_2489,CC,2489
cos_elem_2710,cosine,dim_2710,CC,2710
cos_elem_1245,cosine,dim_1245,CC,1245
cos_elem_2229,cosine,dim_2229,CC,2229
euc_elem_2355,euclidean,dim_2355,CC,2355
euc_elem_1900,euclidean,dim_1900,CC,1900
euc_elem_702,euclidean,dim_702,CC,702
cos_elem_549,cosine,dim_549,CC,549
