original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_111,CC,Chemical Checker,111,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_112,CC,Chemical Checker,112,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_113,CC,Chemical Checker,113,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_114,CC,Chemical Checker,114,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_115,CC,Chemical Checker,115,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_116,CC,Chemical Checker,116,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_117,CC,Chemical Checker,117,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_118,CC,Chemical Checker,118,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_119,CC,Chemical Checker,119,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_120,CC,Chemical Checker,120,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_121,CC,Chemical Checker,121,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_122,CC,Chemical Checker,122,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_123,CC,Chemical Checker,123,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_124,CC,Chemical Checker,124,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_125,CC,Chemical Checker,125,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_126,CC,Chemical Checker,126,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_127,CC,Chemical Checker,127,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_128,CC,Chemical Checker,128,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_129,CC,Chemical Checker,129,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_130,CC,Chemical Checker,130,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_131,CC,Chemical Checker,131,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_132,CC,Chemical Checker,132,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_133,CC,Chemical Checker,133,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_134,CC,Chemical Checker,134,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_135,CC,Chemical Checker,135,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_136,CC,Chemical Checker,136,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_137,CC,Chemical Checker,137,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_138,CC,Chemical Checker,138,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_139,CC,Chemical Checker,139,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_140,CC,Chemical Checker,140,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_141,CC,Chemical Checker,141,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_142,CC,Chemical Checker,142,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_143,CC,Chemical Checker,143,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_144,CC,Chemical Checker,144,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_145,CC,Chemical Checker,145,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_146,CC,Chemical Checker,146,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_147,CC,Chemical Checker,147,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_148,CC,Chemical Checker,148,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_149,CC,Chemical Checker,149,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_150,CC,Chemical Checker,150,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_151,CC,Chemical Checker,151,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_152,CC,Chemical Checker,152,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_153,CC,Chemical Checker,153,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_154,CC,Chemical Checker,154,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_155,CC,Chemical Checker,155,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_156,CC,Chemical Checker,156,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_157,CC,Chemical Checker,157,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_158,CC,Chemical Checker,158,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_159,CC,Chemical Checker,159,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_160,CC,Chemical Checker,160,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_161,CC,Chemical Checker,161,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
dim_162,CC,Chemical Checker,162,A,A2,Chemistry,3D fingerprints,Chemistry / A2: 3D fingerprints
