elementwise_feature,metric,base_feature,space,dimension
euc_elem_780,euclidean,dim_780,CC,780
cos_elem_2127,cosine,dim_2127,CC,2127
cos_elem_2144,cosine,dim_2144,CC,2144
cos_elem_686,cosine,dim_686,CC,686
cos_elem_2686,cosine,dim_2686,CC,2686
cos_elem_1624,cosine,dim_1624,CC,1624
euc_elem_686,euclidean,dim_686,CC,686
euc_elem_3170,euclidean,dim_3170,CC,3170
cos_elem_2069,cosine,dim_2069,CC,2069
euc_elem_2858,euclidean,dim_2858,CC,2858
cos_elem_2669,cosine,dim_2669,CC,2669
euc_elem_3151,euclidean,dim_3151,CC,3151
euc_elem_254,euclidean,dim_254,CC,254
cos_elem_2693,cosine,dim_2693,CC,2693
cos_elem_635,cosine,dim_635,CC,635
euc_elem_1915,euclidean,dim_1915,CC,1915
euc_elem_1907,euclidean,dim_1907,CC,1907
euc_elem_2705,euclidean,dim_2705,CC,2705
euc_elem_2587,euclidean,dim_2587,CC,2587
euc_elem_4,euclidean,dim_4,CC,4
euc_elem_789,euclidean,dim_789,CC,789
cos_elem_708,cosine,dim_708,CC,708
euc_elem_1545,euclidean,dim_1545,CC,1545
euc_elem_2538,euclidean,dim_2538,CC,2538
euc_elem_2627,euclidean,dim_2627,CC,2627
euc_elem_1453,euclidean,dim_1453,CC,1453
cos_elem_1227,cosine,dim_1227,CC,1227
euc_elem_2147,euclidean,dim_2147,CC,2147
cos_elem_2050,cosine,dim_2050,CC,2050
cos_elem_2930,cosine,dim_2930,CC,2930
cos_elem_3260,cosine,s_60,S,60
cos_elem_3227,cosine,s_27,S,27
cos_elem_2568,cosine,dim_2568,CC,2568
cos_elem_1004,cosine,dim_1004,CC,1004
cos_elem_670,cosine,dim_670,CC,670
euc_elem_1649,euclidean,dim_1649,CC,1649
euc_elem_656,euclidean,dim_656,CC,656
cos_elem_2372,cosine,dim_2372,CC,2372
euc_elem_2733,euclidean,dim_2733,CC,2733
cos_elem_823,cosine,dim_823,CC,823
cos_elem_1798,cosine,dim_1798,CC,1798
cos_elem_938,cosine,dim_938,CC,938
cos_elem_775,cosine,dim_775,CC,775
cos_elem_791,cosine,dim_791,CC,791
cos_elem_2445,cosine,dim_2445,CC,2445
cos_elem_790,cosine,dim_790,CC,790
cos_elem_2919,cosine,dim_2919,CC,2919
cos_elem_2944,cosine,dim_2944,CC,2944
euc_elem_2911,euclidean,dim_2911,CC,2911
euc_elem_1214,euclidean,dim_1214,CC,1214
euc_elem_2916,euclidean,dim_2916,CC,2916
cos_elem_1152,cosine,dim_1152,CC,1152
euc_elem_2093,euclidean,dim_2093,CC,2093
euc_elem_2973,euclidean,dim_2973,CC,2973
euc_elem_1004,euclidean,dim_1004,CC,1004
euc_elem_2781,euclidean,dim_2781,CC,2781
cos_elem_1163,cosine,dim_1163,CC,1163
cos_elem_1147,cosine,dim_1147,CC,1147
cos_elem_435,cosine,dim_435,CC,435
euc_elem_2051,euclidean,dim_2051,CC,2051
euc_elem_2523,euclidean,dim_2523,CC,2523
euc_elem_1975,euclidean,dim_1975,CC,1975
euc_elem_2935,euclidean,dim_2935,CC,2935
cos_elem_3133,cosine,dim_3133,CC,3133
euc_elem_2010,euclidean,dim_2010,CC,2010
euc_elem_1096,euclidean,dim_1096,CC,1096
euc_elem_1125,euclidean,dim_1125,CC,1125
cos_elem_3016,cosine,dim_3016,CC,3016
euc_elem_2102,euclidean,dim_2102,CC,2102
cos_elem_3038,cosine,dim_3038,CC,3038
cos_elem_3268,cosine,s_68,S,68
euc_elem_966,euclidean,dim_966,CC,966
euc_elem_206,euclidean,dim_206,CC,206
euc_elem_446,euclidean,dim_446,CC,446
cos_elem_1421,cosine,dim_1421,CC,1421
euc_elem_1633,euclidean,dim_1633,CC,1633
euc_elem_2287,euclidean,dim_2287,CC,2287
