Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
clarithromycin,metronidazole,AGOYDEPGAOXOCK-KCBOHYOISA-N,VAOCPAMSLUNLGC-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
benzalkonium,clarithromycin,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
chloramphenicol,clarithromycin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
egcg,clarithromycin,WMBWREPUVVBILR-WIYYLYMNSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
sulfamonomethoxine,clarithromycin,WMPXPUYPYQKQCX-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'WMPXPUYPYQKQCX-UHFFFAOYSA-N')"
polymyxin b,clarithromycin,WQVJHHACXVLGBL-BPJDFBQWSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
aztreonam,clarithromycin,WZPBZJONDBGPKJ-VEHQQRBSSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')"
clarithromycin,tedizolid,AGOYDEPGAOXOCK-KCBOHYOISA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
clarithromycin,metformin,AGOYDEPGAOXOCK-KCBOHYOISA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
clarithromycin,berberine,AGOYDEPGAOXOCK-KCBOHYOISA-N,YBHILYKTIRIUTE-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YBHILYKTIRIUTE-UHFFFAOYSA-N')"
clarithromycin,tolfenamic,AGOYDEPGAOXOCK-KCBOHYOISA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
novobiocin,clarithromycin,YJQPYGGHQPGBLI-KGSXXDOSSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
clarithromycin,colistin,AGOYDEPGAOXOCK-KCBOHYOISA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
fosfomycin,clarithromycin,YMDXZJFXQJVXBF-STHAYSLISA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
clarithromycin,pyocyanin,AGOYDEPGAOXOCK-KCBOHYOISA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
cephalexin,clarithromycin,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'ZAIPMKNFIOOWCQ-UEKVPHQBSA-N')"
chlorpromazine,clarithromycin,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'ZPEIMTDSQAKGNT-UHFFFAOYSA-N')"
auranofin,doxorubicin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'AUJRCFUBUPVWSZ-XTZHGVARSA-M')"
acetylsalicylic acid,doxorubicin,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'BSYNRYMUTXBXSQ-UHFFFAOYSA-N')"
mecillinam,doxorubicin,BWWVAEOLVKTZFQ-NTZNESFSSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'BWWVAEOLVKTZFQ-NTZNESFSSA-N')"
doxorubicin,miconazole,AOJJSUZBOXZQNB-TZSSRYMLSA-N,BYBLEWFAAKGYCD-UHFFFAOYSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'BYBLEWFAAKGYCD-UHFFFAOYSA-N')"
doxorubicin,gentamicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')"
doxorubicin,moxifloxacin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')"
cefotaxime,doxorubicin,GPRBEKHLDVQUJE-QSWIMTSFSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
doxorubicin,levofloxacin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')"
cefepime,doxorubicin,HVFLCNVBZFFHBT-ZKDACBOMSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'HVFLCNVBZFFHBT-ZKDACBOMSA-N')"
cefuroxime,doxorubicin,JFPVXVDWJQMJEE-IZRZKJBUSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'JFPVXVDWJQMJEE-IZRZKJBUSA-N')"
rifampicin,doxorubicin,JQXXHWHPUNPDRT-WLSIYKJHSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')"
clindamycin,doxorubicin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
azithromycin,doxorubicin,MQTOSJVFKKJCRP-BICOPXKESA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
ciprofloxacin,doxorubicin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
doxorubicin,mitomycin c,AOJJSUZBOXZQNB-TZSSRYMLSA-N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
doxorubicin,nitrofurantoin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
doxorubicin,ticagrelor,AOJJSUZBOXZQNB-TZSSRYMLSA-N,OEKWJQXRCDYSHL-FNOIDJSQSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'OEKWJQXRCDYSHL-FNOIDJSQSA-N')"
doxorubicin,lincomycin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('AOJJSUZBOXZQNB-TZSSRYMLSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
