elementwise_feature,metric,base_feature,space,dimension
euc_elem_307,euclidean,dim_307,CC,307
euc_elem_2771,euclidean,dim_2771,CC,2771
cos_elem_698,cosine,dim_698,CC,698
euc_elem_77,euclidean,dim_77,CC,77
euc_elem_1284,euclidean,dim_1284,CC,1284
euc_elem_133,euclidean,dim_133,CC,133
euc_elem_1296,euclidean,dim_1296,CC,1296
cos_elem_1726,cosine,dim_1726,CC,1726
cos_elem_3044,cosine,dim_3044,CC,3044
euc_elem_1595,euclidean,dim_1595,CC,1595
cos_elem_2336,cosine,dim_2336,CC,2336
euc_elem_3014,euclidean,dim_3014,CC,3014
euc_elem_675,euclidean,dim_675,CC,675
cos_elem_2226,cosine,dim_2226,CC,2226
euc_elem_2693,euclidean,dim_2693,CC,2693
cos_elem_2892,cosine,dim_2892,CC,2892
euc_elem_1920,euclidean,dim_1920,CC,1920
euc_elem_1363,euclidean,dim_1363,CC,1363
euc_elem_1919,euclidean,dim_1919,CC,1919
cos_elem_2937,cosine,dim_2937,CC,2937
cos_elem_2931,cosine,dim_2931,CC,2931
euc_elem_1582,euclidean,dim_1582,CC,1582
cos_elem_2869,cosine,dim_2869,CC,2869
euc_elem_1726,euclidean,dim_1726,CC,1726
euc_elem_2214,euclidean,dim_2214,CC,2214
cos_elem_2794,cosine,dim_2794,CC,2794
euc_elem_2902,euclidean,dim_2902,CC,2902
euc_elem_194,euclidean,dim_194,CC,194
cos_elem_1596,cosine,dim_1596,CC,1596
cos_elem_3223,cosine,s_23,S,23
cos_elem_1332,cosine,dim_1332,CC,1332
cos_elem_1423,cosine,dim_1423,CC,1423
cos_elem_1649,cosine,dim_1649,CC,1649
euc_elem_269,euclidean,dim_269,CC,269
cos_elem_2741,cosine,dim_2741,CC,2741
euc_elem_434,euclidean,dim_434,CC,434
euc_elem_413,euclidean,dim_413,CC,413
euc_elem_1967,euclidean,dim_1967,CC,1967
cos_elem_1273,cosine,dim_1273,CC,1273
euc_elem_1289,euclidean,dim_1289,CC,1289
euc_elem_751,euclidean,dim_751,CC,751
cos_elem_2457,cosine,dim_2457,CC,2457
cos_elem_285,cosine,dim_285,CC,285
euc_elem_1332,euclidean,dim_1332,CC,1332
euc_elem_3040,euclidean,dim_3040,CC,3040
euc_elem_883,euclidean,dim_883,CC,883
cos_elem_2326,cosine,dim_2326,CC,2326
cos_elem_1998,cosine,dim_1998,CC,1998
cos_elem_1932,cosine,dim_1932,CC,1932
euc_elem_1679,euclidean,dim_1679,CC,1679
cos_elem_19,cosine,dim_19,CC,19
euc_elem_1907,euclidean,dim_1907,CC,1907
euc_elem_2427,euclidean,dim_2427,CC,2427
cos_elem_2069,cosine,dim_2069,CC,2069
euc_elem_809,euclidean,dim_809,CC,809
euc_elem_1139,euclidean,dim_1139,CC,1139
cos_elem_835,cosine,dim_835,CC,835
euc_elem_270,euclidean,dim_270,CC,270
euc_elem_968,euclidean,dim_968,CC,968
euc_elem_1547,euclidean,dim_1547,CC,1547
cos_elem_3001,cosine,dim_3001,CC,3001
cos_elem_2471,cosine,dim_2471,CC,2471
euc_elem_1304,euclidean,dim_1304,CC,1304
euc_elem_2511,euclidean,dim_2511,CC,2511
cos_elem_2050,cosine,dim_2050,CC,2050
cos_elem_945,cosine,dim_945,CC,945
cos_elem_925,cosine,dim_925,CC,925
cos_elem_926,cosine,dim_926,CC,926
cos_elem_2041,cosine,dim_2041,CC,2041
euc_elem_229,euclidean,dim_229,CC,229
cos_elem_2889,cosine,dim_2889,CC,2889
cos_elem_1743,cosine,dim_1743,CC,1743
euc_elem_3133,euclidean,dim_3133,CC,3133
cos_elem_1172,cosine,dim_1172,CC,1172
cos_elem_1685,cosine,dim_1685,CC,1685
cos_elem_94,cosine,dim_94,CC,94
euc_elem_2780,euclidean,dim_2780,CC,2780
euc_elem_1752,euclidean,dim_1752,CC,1752
cos_elem_2215,cosine,dim_2215,CC,2215
cos_elem_2021,cosine,dim_2021,CC,2021
cos_elem_2010,cosine,dim_2010,CC,2010
euc_elem_2839,euclidean,dim_2839,CC,2839
euc_elem_2133,euclidean,dim_2133,CC,2133
euc_elem_2089,euclidean,dim_2089,CC,2089
euc_elem_2816,euclidean,dim_2816,CC,2816
cos_elem_780,cosine,dim_780,CC,780
cos_elem_796,cosine,dim_796,CC,796
euc_elem_854,euclidean,dim_854,CC,854
euc_elem_1864,euclidean,dim_1864,CC,1864
cos_elem_199,cosine,dim_199,CC,199
cos_elem_3190,cosine,dim_3190,CC,3190
euc_elem_2409,euclidean,dim_2409,CC,2409
euc_elem_952,euclidean,dim_952,CC,952
euc_elem_1819,euclidean,dim_1819,CC,1819
cos_elem_2229,cosine,dim_2229,CC,2229
cos_elem_1810,cosine,dim_1810,CC,1810
euc_elem_2471,euclidean,dim_2471,CC,2471
euc_elem_3030,euclidean,dim_3030,CC,3030
euc_elem_3023,euclidean,dim_3023,CC,3023
cos_elem_2939,cosine,dim_2939,CC,2939
cos_elem_1096,cosine,dim_1096,CC,1096
cos_elem_1158,cosine,dim_1158,CC,1158
euc_elem_2592,euclidean,dim_2592,CC,2592
euc_elem_1565,euclidean,dim_1565,CC,1565
cos_elem_1880,cosine,dim_1880,CC,1880
euc_elem_154,euclidean,dim_154,CC,154
euc_elem_2665,euclidean,dim_2665,CC,2665
cos_elem_1078,cosine,dim_1078,CC,1078
euc_elem_2714,euclidean,dim_2714,CC,2714
cos_elem_2617,cosine,dim_2617,CC,2617
cos_elem_581,cosine,dim_581,CC,581
euc_elem_187,euclidean,dim_187,CC,187
euc_elem_600,euclidean,dim_600,CC,600
euc_elem_2050,euclidean,dim_2050,CC,2050
euc_elem_2254,euclidean,dim_2254,CC,2254
euc_elem_189,euclidean,dim_189,CC,189
euc_elem_127,euclidean,dim_127,CC,127
euc_elem_1975,euclidean,dim_1975,CC,1975
euc_elem_1043,euclidean,dim_1043,CC,1043
euc_elem_1053,euclidean,dim_1053,CC,1053
cos_elem_2632,cosine,dim_2632,CC,2632
euc_elem_109,euclidean,dim_109,CC,109
cos_elem_1124,cosine,dim_1124,CC,1124
cos_elem_3243,cosine,s_43,S,43
cos_elem_2676,cosine,dim_2676,CC,2676
euc_elem_1771,euclidean,dim_1771,CC,1771
cos_elem_537,cosine,dim_537,CC,537
cos_elem_1809,cosine,dim_1809,CC,1809
cos_elem_1757,cosine,dim_1757,CC,1757
cos_elem_980,cosine,dim_980,CC,980
cos_elem_438,cosine,dim_438,CC,438
cos_elem_309,cosine,dim_309,CC,309
cos_elem_3038,cosine,dim_3038,CC,3038
cos_elem_1387,cosine,dim_1387,CC,1387
cos_elem_1225,cosine,dim_1225,CC,1225
cos_elem_1321,cosine,dim_1321,CC,1321
euc_elem_62,euclidean,dim_62,CC,62
cos_elem_3201,cosine,s_1,S,1
cos_elem_189,cosine,dim_189,CC,189
euc_elem_3212,euclidean,s_12,S,12
euc_elem_3206,euclidean,s_6,S,6
euc_elem_317,euclidean,dim_317,CC,317
cos_elem_744,cosine,dim_744,CC,744
cos_elem_1447,cosine,dim_1447,CC,1447
cos_elem_1624,cosine,dim_1624,CC,1624
cos_elem_229,cosine,dim_229,CC,229
cos_elem_1351,cosine,dim_1351,CC,1351
euc_elem_1087,euclidean,dim_1087,CC,1087
euc_elem_2010,euclidean,dim_2010,CC,2010
cos_elem_2860,cosine,dim_2860,CC,2860
euc_elem_2226,euclidean,dim_2226,CC,2226
euc_elem_2175,euclidean,dim_2175,CC,2175
euc_elem_1056,euclidean,dim_1056,CC,1056
