feature,importance_gain_mean,importance_gain_std
euc_elem_1671,50.66757824420929,13.578029541813686
cos_elem_1943,50.52355905175209,13.79601428573192
cos_elem_2869,50.45703988671303,22.7181426999901
euc_elem_1585,50.41273470520973,32.377849977998665
euc_elem_1531,50.404807567596436,30.288077978339995
euc_elem_2437,50.379882144927976,27.35987073656667
euc_elem_2913,50.28251278400421,21.772037564897474
euc_elem_2902,50.233117669820786,41.953912899609584
cos_elem_1640,50.20188524723053,26.542013933691393
euc_elem_392,50.12973358631134,45.60011781288517
euc_elem_2081,50.09395241737366,32.82558289982378
euc_elem_2652,50.04126659631729,25.29994213663339
euc_elem_577,49.960565510392186,22.503701711801284
cos_elem_42,49.96048457026482,25.49464972425035
euc_elem_2543,49.704009079933165,29.003158146711023
euc_elem_1550,49.66989554166794,26.04013832651116
cos_elem_731,49.600682964921,33.305699523049924
cos_elem_3014,49.54020962715149,19.137427252685853
cos_elem_2133,49.466642913222316,38.0680177740219
euc_elem_655,49.348495569825175,28.004675524845204
cos_elem_796,49.30568905174732,9.820481122129447
euc_elem_1830,49.117255514860155,25.77417044043539
cos_elem_2799,49.093608546257016,23.441699179145544
cos_elem_1900,49.069141620397566,37.037997422527916
cos_elem_1719,48.966651293635366,32.506863473104424
euc_elem_2310,48.84628036767244,22.162370966274985
cos_elem_2634,48.820171320438384,43.888174885283064
euc_elem_1801,48.8080198764801,20.676684075051007
euc_elem_3147,48.79123719334602,19.218738958282444
cos_elem_1633,48.68539345264435,27.398996429119336
cos_elem_1043,48.31228298544884,33.5566127097041
cos_elem_1555,48.06706857085228,45.56992717249229
euc_elem_2538,48.044588160514834,29.573970619761177
euc_elem_1754,47.88894808590412,29.677825842934023
cos_elem_1554,47.829331290721896,17.341668751630458
cos_elem_2843,47.796457999944685,36.214064356026114
cos_elem_302,47.77499659061432,32.379130594648764
cos_elem_892,47.75436099916696,14.463601544813804
cos_elem_1583,47.65484814941883,21.358756166702353
cos_elem_1693,47.65241309851408,47.13078808268034
cos_elem_581,47.61593055129051,24.288285027444804
euc_elem_2487,47.559194719791414,14.810207433614769
euc_elem_1822,47.15692878067493,31.210627131504314
euc_elem_881,47.05042157173157,53.896228300998004
cos_elem_507,47.013502311706546,18.77371417562236
euc_elem_2313,46.96288838982582,28.379245117467164
euc_elem_845,46.90806020498276,27.33294425726462
