Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
azithromycin,cefixime,haemophilus influenzae,0.44,Synergy,FICI,25859454,MQTOSJVFKKJCRP-BICOPXKESA-N,OKBVVJOGVLARMR-QSWIMTSFSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'OKBVVJOGVLARMR-QSWIMTSFSA-N')"
azithromycin,minocycline,klebsiella pneumoniae,0.38,Synergy,FICI,31353294,MQTOSJVFKKJCRP-BICOPXKESA-N,WTJXVDPDEQKTCV-VQAITOIOSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
azithromycin,cefixime,klebsiella pneumoniae,0.38,Synergy,FICI,25859454,MQTOSJVFKKJCRP-BICOPXKESA-N,OKBVVJOGVLARMR-QSWIMTSFSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'OKBVVJOGVLARMR-QSWIMTSFSA-N')"
azithromycin,cefixime,moraxella catarrhalis,0.47,Synergy,FICI,25859454,MQTOSJVFKKJCRP-BICOPXKESA-N,OKBVVJOGVLARMR-QSWIMTSFSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'OKBVVJOGVLARMR-QSWIMTSFSA-N')"
azithromycin,minocycline,pseudomonas aeruginosa,0.53,Additivity,FICI,31353294,MQTOSJVFKKJCRP-BICOPXKESA-N,WTJXVDPDEQKTCV-VQAITOIOSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
azithromycin,minocycline,staphylococcus aureus,0.31,Synergy,FICI,31353294,MQTOSJVFKKJCRP-BICOPXKESA-N,WTJXVDPDEQKTCV-VQAITOIOSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'WTJXVDPDEQKTCV-VQAITOIOSA-N')"
azithromycin,cefixime,streptococcus pneumoniae,0.47,Synergy,FICI,25859454,MQTOSJVFKKJCRP-BICOPXKESA-N,OKBVVJOGVLARMR-QSWIMTSFSA-N,streptococcus pneumoniae,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'OKBVVJOGVLARMR-QSWIMTSFSA-N')"
azithromycin,ceftriaxone,haemophilus ducreyi 35000,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,VAAUVRVFOQPIGI-SPQHTLEESA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'VAAUVRVFOQPIGI-SPQHTLEESA-N')"
azithromycin,streptomycin,haemophilus ducreyi 35000,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
azithromycin,ceftriaxone,haemophilus ducreyi ro34,1.5,Indifferent,FICI,16046468,MQTOSJVFKKJCRP-BICOPXKESA-N,VAAUVRVFOQPIGI-SPQHTLEESA-N,nan,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'VAAUVRVFOQPIGI-SPQHTLEESA-N')"
